flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
AAL199_20190825,AAL199,AA199,aa28f2,N754AN,B772,LIMC,EGLL,KJFK,EGLL,unclear,diverted,unknown,,,,
DAL573_20190825,DAL573,DL573,a8df4b,N6709,B752,KLAX,,MMMX,,,,,,,,
BAW89P_20190826,BAW89P,BA278,406d79,G-ZBKC,B789,KSJC,EGLL,EGLL,,unclear,unclear,unknown,,,,
AAL2318_20190826,AAL2318,AA2318,ac81d2,N905AU,A321,KDFW,KLAX,KLAX,,,,,,,,
DAL2590_20190828,DAL2590,DL2590,ab43c6,N825DN,B739,KATL,KDEN,KDEN,,,,,,,,
BCS63A_20190829,BCS63A,,3c5434,D-AEAT,A306,LEMD,LEMD,EHAM,LEMD,unclear,return,unknown,,,,
JIA5566_20190829,JIA5566,AA5566,a6bf4e,N534AE,CRJ7,KHSV,KCLT,KCLT,,,,,,,,
TAR635_20190831,TAR635,TU635,02a1cd,TS-ION,B736,LFPO,,DTTJ,LFML,unclear,diverted,unknown,,,,
CFS8802_20190831,CFS8802,EM8802,ac25c5,N882FE,C208,KPHX,KNYL,KNYL,,,,,,,,
ASA1384_20190831,ASA1384,AS1384,a855e2,N636VA,A320,KPSP,KSEA,KSEA,,,,,,,,
ICE10M_20190902,ICE10M,FI568,4cc27a,TF-ISV,B752,BIKF,BIKF,LSZH,BIKF,unclear,return,unknown,,,,
UAL1827_20190903,UAL1827,UA1827,a0acdd,N14228,B738,KEWR,KSAN,KSAN,,,,,,,,
EZY64NL_20190904,EZY64NL,U28679,400c4a,G-EZIH,A319,EGKK,LFLL,LIEO,LFLL,cracked_windshield,diverted,unknown,,,,
NAX10B_20190905,NAX10B,DY7110,479089,LN-LNI,B789,KLAX,EIDW,LEBL,EIDW,engine,diverted,unknown,4cc72ac7,engine,diverted,unknown
CSZ9073_20190906,CSZ9073,ZH9073,780d00,B-1713,B738,ZGSZ,RCTP,RCTP,,,,,,,,
RPA5939_20190906,RPA5939,DL5939,ac0307,N873RW,E170,KJFK,KCMH,KCMH,,,,,,,,
BEE1AJ_20190906,BEE1AJ,BE417,401152,G-JECX,DH8D,EGAC,EGBB,EGBB,,unclear,planned,unknown,,,,
BOX495_20190907,BOX495,3S495,3c458a,D-AALJ,B77L,KIAH,,EDDF,,,,,,,,
